,Model,AIC,BIC,RMSE,MAPE
547,"((0, 0, 1), (2, 0, 1, 12), 't')",3911.348136567869,3933.9015472111328,170.7566527188044,0.35937090441452646
548,"((0, 0, 1), (2, 0, 1, 12), 'ct')",3895.2308116420913,3921.5431240592325,137.74509621370163,0.2849868267179599
549,"((0, 0, 1), (2, 0, 1, 12), poly1d([1, 0, 0]))",3907.33005401708,3929.8834646603436,105.35008838710608,0.19306158833767312
550,"((0, 0, 1), (2, 0, 1, 12), poly1d([1, 0, 1]))",3902.2436571460594,3928.5559695632005,203.70484946571094,0.43410706959916945
551,"((0, 0, 1), (2, 0, 1, 12), poly1d([1, 1, 0]))",3895.2308116420913,3921.5431240592325,137.74509621370163,0.2849868267179599
552,"((0, 0, 1), (2, 0, 1, 12), poly1d([1, 1, 1]))",3891.7443831338805,3921.8155973248986,308.7728435034704,0.6644536127132653
553,"((0, 0, 1), (2, 0, 1, 12), poly1d([1, 0, 0, 0]))",3907.33005401708,3929.8834646603436,105.35008838710608,0.19306158833767312
554,"((0, 0, 1), (2, 0, 1, 12), poly1d([1, 0, 0, 1]))",4178.5858519294,4204.89816434654,282.5947422851484,0.6096834242901137
555,"((0, 0, 1), (2, 0, 1, 12), poly1d([1, 0, 1, 0]))",3902.2436571460594,3928.5559695632005,203.70484946571094,0.43410706959916945
556,"((0, 0, 1), (2, 0, 1, 12), poly1d([1, 0, 1, 1]))",4179.574198476776,4209.645412667794,294.63214251118404,0.6365659739132827
557,"((0, 0, 1), (2, 0, 1, 12), poly1d([1, 1, 0, 0]))",3895.2308116420913,3921.5431240592325,137.74509621370163,0.2849868267179599
558,"((0, 0, 1), (2, 0, 1, 12), poly1d([1, 1, 0, 1]))",4168.032356110874,4198.103570301892,342.91512094222986,0.7435858248966299
559,"((0, 0, 1), (2, 0, 1, 12), poly1d([1, 1, 1, 0]))",3891.7443831338805,3921.8155973248986,308.7728435034704,0.6644536127132653
560,"((0, 0, 1), (2, 0, 1, 12), poly1d([1, 1, 1, 1]))",4073.687282792939,4107.517398757835,160.21672761071,0.2592251064269241
561,"((0, 0, 1), (2, 0, 1, 12), poly1d([1, 0, 0, 0, 0]))",3907.33005401708,3929.8834646603436,105.35008838710608,0.19306158833767312
562,"((0, 0, 1), (2, 0, 1, 12), poly1d([1, 0, 0, 0, 1]))",4286.35019575039,4312.662508167531,155.25180790276707,0.2745585486306135
563,"((0, 0, 1), (2, 0, 1, 12), poly1d([1, 0, 0, 1, 0]))",4178.5858519294,4204.89816434654,282.5947422851484,0.6096834242901137
564,"((0, 0, 1), (2, 0, 1, 12), poly1d([1, 0, 0, 1, 1]))",4159.5311297198905,4189.6023439109085,291.88724723911105,0.6141640472982276
565,"((0, 0, 1), (2, 0, 1, 12), poly1d([1, 0, 1, 0, 0]))",3902.2436571460594,3928.5559695632005,203.70484946571094,0.43410706959916945
566,"((0, 0, 1), (2, 0, 1, 12), poly1d([1, 0, 1, 0, 1]))",4161.36950050275,4191.440714693768,232.39114155446336,0.4721661941166492
567,"((0, 0, 1), (2, 0, 1, 12), poly1d([1, 0, 1, 1, 0]))",4179.574198476776,4209.645412667794,294.63214251118404,0.6365659739132827
568,"((0, 0, 1), (2, 0, 1, 12), poly1d([1, 0, 1, 1, 1]))",4161.381001503141,4195.211117468037,286.13753029641396,0.600761428555337
569,"((0, 0, 1), (2, 0, 1, 12), poly1d([1, 1, 0, 0, 0]))",3895.2308116420913,3921.5431240592325,137.74509621370163,0.2849868267179599
