,Model,AIC,BIC,RMSE,MAPE
835,"((0, 0, 2), (1, 0, 2, 12), poly1d([1, 0, 0, 1, 1]))",4466.074511616185,4499.904627581081,374.190926474033,0.3443032585004704
836,"((0, 0, 2), (1, 0, 2, 12), poly1d([1, 0, 1, 0, 0]))",3446.294706399486,3476.365920590504,195.74551908881503,0.16974555817681852
837,"((0, 0, 2), (1, 0, 2, 12), poly1d([1, 0, 1, 0, 1]))",4568.431800557195,4602.26191652209,281.3329226176153,0.2511932917076778
838,"((0, 0, 2), (1, 0, 2, 12), poly1d([1, 0, 1, 1, 0]))",4802.810500494728,4836.640616459624,233.08227328653086,0.182494000013127
839,"((0, 0, 2), (1, 0, 2, 12), poly1d([1, 0, 1, 1, 1]))",4806.4064643332395,4843.995482072012,207.37749217205516,0.16017750477901402
840,"((0, 0, 2), (1, 0, 2, 12), poly1d([1, 1, 0, 0, 0]))",3117.7095866128257,3147.7808008038437,129.61973748613258,0.10801231537478895
841,"((0, 0, 2), (1, 0, 2, 12), poly1d([1, 1, 0, 0, 1]))",4798.419542772,4832.249658736895,197.9002485526774,0.16202686556509915
842,"((0, 0, 2), (1, 0, 2, 12), poly1d([1, 1, 0, 1, 0]))",4856.557226227358,4890.3873421922535,164.03708543324984,0.11887766364041456
843,"((0, 0, 2), (1, 0, 2, 12), poly1d([1, 1, 0, 1, 1]))",4854.36779072856,4891.956808467333,163.70963495336687,0.12308053282495024
844,"((0, 0, 2), (1, 0, 2, 12), poly1d([1, 1, 1, 0, 0]))",3346.7938148380026,3380.623930802898,92.93471301315085,0.07769023632121594
845,"((0, 0, 2), (1, 0, 2, 12), poly1d([1, 1, 1, 0, 1]))",4851.588660479681,4889.177678218453,167.49867457518476,0.13029346110313508
846,"((0, 0, 2), (1, 0, 2, 12), poly1d([1, 1, 1, 1, 0]))",4856.485184160534,4894.074201899307,172.94308468768114,0.12476859499321433
847,"((0, 0, 2), (1, 0, 2, 12), poly1d([1, 1, 1, 1, 1]))",4855.200111166449,4896.548030679099,165.43711514897177,0.12316135772251954
848,"((0, 0, 2), (1, 1, 0, 12), 'n')",2885.3358639501475,2900.2171110565773,37.39487291637717,0.02761071415756545
849,"((0, 0, 2), (1, 1, 1, 12), 'n')",2885.2986952569913,2903.900254140028,37.01767814274119,0.02727606058559781
850,"((0, 0, 2), (1, 1, 2, 12), 'n')",2820.5657003438378,2842.887571003482,57.923549707466115,0.044569295346724457
851,"((0, 1, 2), (1, 0, 0, 12), 'n')",2992.6905441231625,3007.71351297751,46.26962689404164,0.03676100401812077
852,"((0, 1, 2), (1, 0, 1, 12), 'n')",2891.65931297628,2910.4380240442147,40.07876704675875,0.031995416929889164
853,"((0, 1, 2), (1, 0, 2, 12), 'n')",2893.643797733061,2916.1782510145827,40.31248871885848,0.032257358894327195
854,"((0, 1, 2), (1, 1, 0, 12), 'n')",2817.2366579018685,2832.1047687074933,45.015733614912754,0.0336818429835562
855,"((0, 1, 2), (1, 1, 1, 12), 'n')",2760.5565383886833,2779.141676895714,40.49426578343926,0.03185674423247126
856,"((0, 1, 2), (1, 1, 2, 12), 'n')",2761.5773218999093,2783.879488108347,40.98853879489551,0.03247538043925278
857,"((0, 2, 2), (1, 0, 0, 12), 'n')",3035.2392244741372,3050.24951502944,37.70753065632525,0.025660012931258497
858,"((0, 2, 2), (1, 0, 1, 12), 'n')",1548.8969462353944,1567.6598094295225,7339.894841626205,7.108570616409534
859,"((0, 2, 2), (1, 0, 2, 12), 'n')",2976.348823329138,2998.864259162092,40.22602730720767,0.028639875251884373
860,"((0, 0, 2), (2, 0, 0, 12), 'n')",3963.9888532432888,3982.783362112675,177.67946461858713,0.15355984510836757
861,"((0, 0, 2), (2, 0, 0, 12), 'c')",3549.8229645498022,3572.376375193066,156.72131033682962,0.11596883650870378
862,"((0, 0, 2), (2, 0, 0, 12), 't')",12.0,34.55341064326368,1826131723.9624815,1793012.1744631124
863,"((0, 0, 2), (2, 0, 0, 12), 'ct')",3309.801276513038,3336.113588930179,102.72099643651543,0.08562127686761169
864,"((0, 0, 2), (2, 0, 0, 12), poly1d([1, 0, 0]))",3549.8229645498022,3572.376375193066,156.72131033682962,0.11596883650870378
865,"((0, 0, 2), (2, 0, 0, 12), poly1d([1, 0, 1]))",3497.8281499433574,3524.1404623604985,179.6702928804092,0.15729568739395705
866,"((0, 0, 2), (2, 0, 0, 12), poly1d([1, 1, 0]))",3309.801276513038,3336.113588930179,102.72099643651543,0.08562127686761169
867,"((0, 0, 2), (2, 0, 0, 12), poly1d([1, 1, 1]))",3411.532665457832,3441.60387964885,99.48480225394752,0.08491759547191702
868,"((0, 0, 2), (2, 0, 0, 12), poly1d([1, 0, 0, 0]))",3549.8229645498022,3572.376375193066,156.72131033682962,0.11596883650870378
869,"((0, 0, 2), (2, 0, 0, 12), poly1d([1, 0, 0, 1]))",3592.109423902205,3618.421736319346,285.0171916540335,0.25594613967617025
870,"((0, 0, 2), (2, 0, 0, 12), poly1d([1, 0, 1, 0]))",3497.8281499433574,3524.1404623604985,179.6702928804092,0.15729568739395705
871,"((0, 0, 2), (2, 0, 0, 12), poly1d([1, 0, 1, 1]))",3450.346207194411,3480.417421385429,171.49721273587943,0.12829299572781547
872,"((0, 0, 2), (2, 0, 0, 12), poly1d([1, 1, 0, 0]))",3309.801276513038,3336.113588930179,102.72099643651543,0.08562127686761169
873,"((0, 0, 2), (2, 0, 0, 12), poly1d([1, 1, 0, 1]))",3443.958321625115,3474.029535816133,97.17664470496553,0.078841195814486
874,"((0, 0, 2), (2, 0, 0, 12), poly1d([1, 1, 1, 0]))",3411.532665457832,3441.60387964885,99.48480225394752,0.08491759547191702
875,"((0, 0, 2), (2, 0, 0, 12), poly1d([1, 1, 1, 1]))",3445.435958177014,3479.2660741419095,104.57464078079967,0.08142859433402563
876,"((0, 0, 2), (2, 0, 0, 12), poly1d([1, 0, 0, 0, 0]))",3549.8229645498022,3572.376375193066,156.72131033682962,0.11596883650870378
877,"((0, 0, 2), (2, 0, 0, 12), poly1d([1, 0, 0, 0, 1]))",3828.5896187999397,3854.901931217081,195.43823153460633,0.15911732677378448
878,"((0, 0, 2), (2, 0, 0, 12), poly1d([1, 0, 0, 1, 0]))",3592.109423902205,3618.421736319346,285.0171916540335,0.25594613967617025
879,"((0, 0, 2), (2, 0, 0, 12), poly1d([1, 0, 0, 1, 1]))",3590.319471935038,3620.390686126056,337.94992532286597,0.30790209799823504
880,"((0, 0, 2), (2, 0, 0, 12), poly1d([1, 0, 1, 0, 0]))",3497.8281499433574,3524.1404623604985,179.6702928804092,0.15729568739395705
881,"((0, 0, 2), (2, 0, 0, 12), poly1d([1, 0, 1, 0, 1]))",3525.913189180069,3555.984403371087,235.816021278308,0.21210992193456618
